Beagle5,Scuba,5,5,It is one of the most popular activities on Similan.|Because you get to exercise every part of your body|and also get to see the scenery under the sea.,2023-10-08,2023-11-09,16:00,22:00,2023-10-08,2023-11-09,08:00,21:00,Scuba.jpg,true
Gameza22,Dining at Meridian Cruise,4,30,Take an evening cruise on the Chao Phraya River.|There are many boat operators offering many services.|Today you will comes aboard a cruise called Meridian Cruise.|We open for everyone at every class.|The Cruise will set sail at 8 P.M. on October 10.|So be readay for the great pleasure await!,2023-10-08,2023-11-10,18:00,10:00,2023-10-08,2023-11-10,08:00,21:00,Dining at Meridian Cruise.jpg,true
Casper0,Omakase premium course Otaru,3,7,You can eat delicious sushi Otaru without to go to|Otaru Japan because the shop has brought premium|quality ingredients directly to Thailand.,2023-10-09,2023-12-01,08:30,23:59,2023-10-09,2023-12-01,08:30,23:59,Omakase premium course Otaru.png,true
chinaboy1899,Gong Yoo Held Fan's meeting,3,25,An exclusive fan meeting with a korea superstar| Gong Yoo Held.Who has been a main character |for many Korean series.Held at Siam Paragon hall.,2023-10-09,2023-11-11,14:00,18:00,2023-10-09,2023-11-11,14:00,23:00,Gong Yoo Held Fan's meeting.jpg,true
elonma338,Big Mountain Concert,3,1000,Thailand’s Big Mountain Festival announces massive |line-up including Phum Viphurit MILLI and more |at The Ocean Khao Yai in Pak Chong DistrictThailand|the 12th edition of Big Mountain Festival,2023-11-12,2023-11-15,15:00,01:00,2023-09-08,2023-11-12,12:00,12:00,Big Mountain Concert.jpg,true
therock888,Thailand Game Show 2023,1,500,Thailand massive video games and cartoon event that|held 4 times a year.This year we brings many big video|game platforms to appease every video games fans.|So don't miss this opportunity to get you some |excitement!,2023-10-13,2023-11-23,10:00,20:00,2023-09-08,2023-11-23,12:00,12:00,Thailand Game Show 2023.jpg,true
ohio345,Commart Thailand 2023,5,250,การกลับมาของอีเวนต์อุปกรณ์คอมพิวเตอร์และโน้ตบุ้คที่ยิ่งใหญ่|ที่สุดของประเทศไทย ในครั้งนี้ได้เตรียมอุปกรณ์สุดเจ๋งพร้อมส่วนลด|สุดจ๊าบมาให้ทุกคนที่สนใจได้ไปจับจองกันอย่างถ้วนหน้า อย่าลืม|มาร่วมอีเวนต์กันเยอะๆนะครับทุกคน,2023-09-25,2023-11-27,12:00,22:00,2023-09-10,2023-11-27,12:00,22:00,Commart Thailand 2023.jpg,true
moomoo2,AP30 x 30 HOME IS EMPOWERING YOU EXHIBITION,4,100,นิทรรศการที่จะพาคุณไปสัมผัสมุมมองการถ่ายทอดความหมาย|ของพื้นที่ในบ้านแบบจัดเต็ม ผ่านมุมมองพร้อมกันกับเหล่า 30 |illustrators ชื่อดังชั้นแนวหน้าระดับประเทศ!,2023-10-16,2023-11-20,12:00,20:00,2023-10-11,2023-11-20,12:00,11:00,AP30 x 30 HOME IS EMPOWERING YOU EXHIBITION.jpg,true
ohio345,Sky Walk Trip,2,15,We will go to the High Tower at Mishima in Japan.|We are going to see the peace of sky. |There are few people to see it.|We will be the one of a few people.|Let's join us (07:00 - 11/1/2023) at Heaven Hotel.|We will only pay for your accommodation and travel expenses.|The rest will be at your own expense.,2023-10-13,2023-10-20,07:00,15:00,2023-09-13,2023-10-12,07:00,12:00,Sky Walk Trip.jpg,true
Rin8,TEDTalk,3,100,Improve yourself with top tier speakers. |And be better version of yourself.,2023-11-11,2023-11-11,09:00,16:00,2023-10-11,2023-11-10,09:35,16:00,TEDTalk.jpg,true
Leo8,PetExpo,2,800,Pets / exotic animals |Goods for your animals.|Gathering all products in this expo!!,2023-11-01,2023-11-08,10:00,19:00,2023-10-25,2023-11-08,11:23,19:00,PetExpo.jpg,true
Best8,DekD TCAS,3,500,Provide information for student to entrance the university.,2023-08-07,2023-08-26,09:00,16:00,2023-07-07,2023-08-20,12:50,16:00,DekD TCAS.png,true
Pun8,KU Winter,4,20,Shop and Chill with our Activity,2023-11-16,2023-12-17,16:00,23:00,2023-10-22,2023-12-17,01:18,23:00,KU Winter.png,false
Littlestar8,Siam Carnival Funfair,3,1000,กลับมาอีกครั้ง Siamcarnival ผู้ให้บริการสวนสนุกเคลื่อนที่ที่ใหญ่ที่สุด|ในประเทศไทย ยกทัพความสนุก ความมันส์ มาไว้ที่สวนรถไฟ |ใจกลางกรุงเทพฯ งานนี้ชวนเพื่อนและเดอะแก๊งมาเลย!!!,2023-12-01,2023-12-07,12:00,22:00,2023-10-11,2023-12-07,13:00,12:00,Siam Carnival Funfair.jpg,true
bobo01,THE GATE IMMERSIVE THEATER,2,200,ทรู ดิจิทัล พาร์ค ชวนเปิดประตูท่องโลกศิลปะจากเทคโนโลยีดิจิทัลสุดล้ำ |ในนิทรรศการ THE GATE IMMERSIVE THEATER ผ่าน 4 ผลงาน |ที่จะพาคุณไปสัมผัสกับโลกอีกมิติของงานศิลปะ จัดขึ้น 3 เฟส รวมระยะเวลา |3 เดือน นำพาทุกคนเข้าสู่โลกเสมือน (VR) ที่รวมโลกศิลปะกับเทคโนโลยีดิจิทัล|สุดล้ำ,2023-07-13,2023-10-31,12:00,20:00,2023-07-01,2023-10-31,12:00,20:00,THE GATE IMMERSIVE THEATER.jpg,true
willy554,Graduation KU 65,1,500,ร่วมแสดงความยินดีกับบัณฑิตจบใหม่ ได้ที่มหาวิทยาลัยเกษตรศาสตร์|และพบกับกิจกรรมมากมาย ภายในวันงาน อาทิ เช่น กิจกรรมมินิคอนเสิร์ต|อาหารตามบู้ทต่างๆ และเกมมากมาย ให้ร่วมสนุก,2023-11-20,2023-11-20,08:00,17:00,2023-10-11,2023-11-20,08:00,17:00,Graduation KU 65.jpg,true
Gamie333,Create Test Event,0,20,อีเวนต์นี้ถูกสร้างมาเพื่อทดสอบการรันโปรแกรมการสร้าง jarfile,2023-10-13,2023-10-14,12:00,12:00,2023-10-13,2023-10-14,02:36,12:00,Create Test Event.jpg,false
